Department,JobRole,TenureBand,n,risk,attrition_rate,suppressed
Human Resources,Healthcare Representative,<1,0,,,True
Human Resources,Healthcare Representative,1-3,0,,,True
Human Resources,Healthcare Representative,3-5,0,,,True
Human Resources,Healthcare Representative,5-10,0,,,True
Human Resources,Healthcare Representative,10+,0,,,True
Human Resources,Human Resources,<1,0,,,True
Human Resources,Human Resources,1-3,2,,,True
Human Resources,Human Resources,3-5,4,,,True
Human Resources,Human Resources,5-10,4,,,True
Human Resources,Human Resources,10+,1,,,True
Human Resources,Laboratory Technician,<1,0,,,True
Human Resources,Laboratory Technician,1-3,0,,,True
Human Resources,Laboratory Technician,3-5,0,,,True
Human Resources,Laboratory Technician,5-10,0,,,True
Human Resources,Laboratory Technician,10+,0,,,True
Human Resources,Manager,<1,0,,,True
Human Resources,Manager,1-3,0,,,True
Human Resources,Manager,3-5,0,,,True
Human Resources,Manager,5-10,1,,,True
Human Resources,Manager,10+,3,,,True
Human Resources,Manufacturing Director,<1,0,,,True
Human Resources,Manufacturing Director,1-3,0,,,True
Human Resources,Manufacturing Director,3-5,0,,,True
Human Resources,Manufacturing Director,5-10,0,,,True
Human Resources,Manufacturing Director,10+,0,,,True
Human Resources,Research Director,<1,0,,,True
Human Resources,Research Director,1-3,0,,,True
Human Resources,Research Director,3-5,0,,,True
Human Resources,Research Director,5-10,0,,,True
Human Resources,Research Director,10+,0,,,True
Human Resources,Research Scientist,<1,0,,,True
Human Resources,Research Scientist,1-3,0,,,True
Human Resources,Research Scientist,3-5,0,,,True
Human Resources,Research Scientist,5-10,0,,,True
Human Resources,Research Scientist,10+,0,,,True
Human Resources,Sales Executive,<1,0,,,True
Human Resources,Sales Executive,1-3,0,,,True
Human Resources,Sales Executive,3-5,0,,,True
Human Resources,Sales Executive,5-10,0,,,True
Human Resources,Sales Executive,10+,0,,,True
Human Resources,Sales Representative,<1,0,,,True
Human Resources,Sales Representative,1-3,0,,,True
Human Resources,Sales Representative,3-5,0,,,True
Human Resources,Sales Representative,5-10,0,,,True
Human Resources,Sales Representative,10+,0,,,True
Research & Development,Healthcare Representative,<1,5,0.17543516,0.2,False
Research & Development,Healthcare Representative,1-3,4,,,True
Research & Development,Healthcare Representative,3-5,4,,,True
Research & Development,Healthcare Representative,5-10,7,0.02082089,0.14285714285714285,False
Research & Development,Healthcare Representative,10+,3,,,True
Research & Development,Human Resources,<1,0,,,True
Research & Development,Human Resources,1-3,0,,,True
Research & Development,Human Resources,3-5,0,,,True
Research & Development,Human Resources,5-10,0,,,True
Research & Development,Human Resources,10+,0,,,True
Research & Development,Laboratory Technician,<1,10,0.36250773,0.1,False
